ciclo,modo,pc,ifbit,irr,imr,isr,en_servicio,in_isr,stage,cur_dev,vec,driver_busy,disco_serv,disco_rem,teclado_serv,teclado_rem,disco_cola,teclado_cola,irq,contextos_guardados,es,nest,eoi,pend
185,kernel,0x4F4,0,01,00,10,Disco,1,2,Disco,0x21,0,20,5,0,0,0,0,18,18,17,4,17,2
186,kernel,0x4F4,0,01,00,10,Disco,1,3,Disco,0x21,0,20,4,0,0,0,0,18,18,17,4,17,2
187,kernel,0x2100,1,01,00,10,Disco,1,4,Disco,0x21,0,20,4,0,0,0,0,18,18,17,4,17,2
188,kernel,0x2100,1,01,00,10,Disco,1,5,Disco,0x21,0,20,3,0,0,0,0,18,18,17,4,17,2
189,kernel,0x2100,1,01,00,00,-,1,6,Disco,0x21,0,20,3,0,0,0,0,18,18,18,4,18,1
190,usuario,0x4F4,1,01,00,00,-,1,7,Disco,0x21,0,20,2,0,0,0,0,18,18,18,4,18,1
191,usuario,0x4F4,1,01,00,00,-,0,0,-,0x0,0,20,2,0,0,0,0,18,18,18,4,18,1
192,kernel,0x4F8,0,00,00,01,Teclado,1,1,Teclado,0x22,0,20,1,0,0,0,0,19,19,18,4,18,1
193,kernel,0x4F8,0,00,00,01,Teclado,1,2,Teclado,0x22,0,20,1,0,0,0,0,19,19,18,4,18,1
194,kernel,0x4F8,0,10,00,01,Teclado,1,3,Teclado,0x22,0,0,0,0,0,0,0,19,19,18,4,18,2
195,kernel,0x2200,1,10,00,01,Teclado,1,4,Teclado,0x22,0,0,0,0,0,0,0,19,19,18,4,18,2
196,kernel,0x2200,0,00,00,11,Disco,1,1,Disco,0x21,0,0,0,0,0,0,0,20,20,18,5,18,2
197,kernel,0x2200,0,00,00,11,Disco,1,2,Disco,0x21,0,0,0,0,0,0,0,20,20,18,5,18,2
198,kernel,0x2200,0,00,00,11,Disco,1,3,Disco,0x21,0,0,0,0,0,0,0,20,20,18,5,18,2
199,kernel,0x2100,1,00,00,11,Disco,1,4,Disco,0x21,0,0,0,0,0,0,0,20,20,18,5,18,2
200,kernel,0x2100,1,00,00,11,Disco,1,5,Disco,0x21,0,0,0,0,0,0,0,20,20,18,5,18,2
201,kernel,0x2100,1,00,00,01,Teclado,1,6,Disco,0x21,0,0,0,0,0,0,0,20,20,19,5,19,1
202,kernel,0x2200,1,00,00,01,Teclado,1,7,Disco,0x21,0,0,0,0,0,0,0,20,20,19,5,19,1
203,kernel,0x2200,1,00,00,01,Teclado,1,4,Teclado,0x22,0,0,0,0,0,0,0,20,20,19,5,19,1
204,kernel,0x2200,1,00,00,01,Teclado,1,5,Teclado,0x22,0,0,0,0,0,0,0,20,20,19,5,19,1
205,kernel,0x2200,1,00,00,00,-,1,6,Teclado,0x22,0,0,0,0,0,0,0,20,20,20,5,20,0
206,usuario,0x4F8,1,00,00,00,-,1,7,Teclado,0x22,0,0,0,0,0,0,0,20,20,20,5,20,0
207,usuario,0x4F8,1,00,00,00,-,0,0,-,0x0,0,0,0,0,0,0,0,20,20,20,5,20,0
208,usuario,0x4FC,1,00,00,00,-,0,0,-,0x0,4,0,0,0,0,0,1,20,20,20,5,20,0
209,usuario,0x500,1,00,00,00,-,0,0,-,0x0,3,0,0,21,4,0,0,20,20,20,5,20,0
210,usuario,0x504,1,00,00,00,-,0,0,-,0x0,2,0,0,21,3,0,0,20,20,20,5,20,0
211,usuario,0x508,1,00,00,00,-,0,0,-,0x0,4,0,0,21,3,1,0,20,20,20,5,20,0
212,usuario,0x50C,1,00,00,00,-,0,0,-,0x0,3,22,6,21,2,0,0,20,20,20,5,20,0
